gene_symbol,gene_id,entrez_id,chromosome,strand,number_of_transcripts,median_transcriptome_length,median_genome_length,median_number_of_exons,median_gene_start,median_gene_end
CCDC13,81050,152206,3,-,1,2814,64871,16,42749874,42814745
CCDC130,57278,81576,19,+,1,1622,15353,10,13858753,13874106
CCDC132,34899,55610,7,+,2,2382,85384,20,92861653,92947038
CCDC134,55682,79879,22,+,1,1268,25625,7,42196678,42222303
CCDC135,58439,84229,16,+,1,2893,36654,18,57728713,57765367
CCDC136,41328,64753,7,+,1,4150,30084,18,128432099,128462183
CCDC137,109638,339230,17,+,1,2102,7175,6,79633761,79640936
CCDC138,81652,165055,2,+,1,2181,89628,15,109403219,109492847
CCDC14,41344,64770,3,-,1,4170,47981,12,123632274,123680255
CCDC140,80969,151278,2,+,1,1697,7070,2,223162866,223169936
CCDC141,94453,285025,2,-,1,9103,220302,24,179694484,179914786
CCDC142,59055,84865,2,-,1,4330,10398,9,74699959,74710357
CCDC144A,9576,9720,17,+,1,5810,84672,18,16593639,16678311
CCDC144B,94158,284047,17,-,1,8678,87815,17,18441115,18528930
CCDC144C,110379,348254,17,+,1,4188,81017,16,20224487,20305504
CCDC144NL,109628,339184,17,-,1,2802,32745,4,20766708,20799453
CCDC146,36912,57639,7,+,1,3314,172587,19,76751934,76924521
CCDC147,81457,159686,10,+,1,3295,101326,18,106113522,106214848
CCDC148,79455,130940,2,-,2,2136,226780,11,159086484,159313265
CCDC149,59998,91050,4,-,2,3999,140474,12,24807739,24948213
CCDC15,55873,80071,11,+,1,3877,87368,16,124824017,124911385
CCDC150,94442,284992,2,+,1,3657,93174,28,197504356,197597530
CCDC151,77722,115948,19,-,1,2149,14708,13,11531272,11545980
CCDC152,1003752,100129792,5,+,1,3482,45619,9,42756920,42802539
CCDC153,93862,283152,11,-,1,760,5621,7,119060963,119066584
CCDC154,152912,645811,16,-,1,2174,10101,17,1484389,1494490
CCDC155,80653,147872,19,+,1,2363,29781,20,49891475,49921256
CCDC157,149618,550631,22,+,1,2991,20191,12,30752627,30772818
CCDC158,109769,339965,4,-,1,3602,94266,24,77234192,77328458
CCDC159,NA,NA,19,+,1,1052,8439,11,11457181,11465620
CCDC160,NA,NA,X,+,1,1297,8731,2,133371077,133379808
CCDC162,NA,NA,6,+,1,711,13917,4,109615506,109629423
CCDC163P,NA,NA,1,-,3,2079,6153,5,45959598,45965751
CCDC17,80796,149483,1,-,2,2224,4015,13,46085716,46089731
CCDC18,110043,343099,1,+,1,4628,98348,28,93645920,93744268
CCDC19,25539,25790,1,-,1,1783,27752,12,159842154,159869906
CCDC21,41366,64793,1,+,1,3921,44606,14,26560693,26605299
CCDC22,28688,28952,X,+,1,2302,15060,17,49091927,49106987
CCDC23,119531,374969,1,-,1,795,10336,3,43272723,43283059
CCDC24,80794,149473,1,+,1,1452,4918,9,44457280,44462198
CCDC25,34535,55246,8,-,1,3631,39337,9,27590833,27630170
CCDC27,80743,148870,1,+,1,2162,19244,12,3668965,3688209
CCDC28A,25650,25901,6,+,1,1490,19799,6,139094657,139114456
CCDC28B,54979,79140,1,+,1,871,4789,6,32666202,32670991
CCDC3,57885,83643,10,-,1,2735,105079,3,12938625,13043704
CCDC30,168098,728621,1,+,1,3082,119775,16,43000560,43120335
CCDC33,55926,80125,15,+,2,2413,58698,14,74569784,74628482
CCDC34,60000,91057,11,-,2,1797,19555,4,27365240,27384795
CCDC36,109746,339834,3,+,2,2836,59140,9,49236397,49295537
CCDC37,110406,348807,3,+,1,2069,41616,17,126113782,126155398
CCDC38,78811,120935,12,-,1,1938,75602,16,96260826,96336428
CCDC39,109744,339829,3,-,1,3834,65487,20,180331796,180397283
CCDC40,34325,55036,17,+,1,4274,63977,20,78010435,78074412
CCDC41,30616,51134,12,-,2,3182,151708,16,94702056,94853764
CCDC42,80557,146849,17,-,2,1262,14908,6,8633246,8648154
CCDC42B,122754,387885,12,+,1,1506,9418,8,113587663,113597081
CCDC43,79027,124808,17,-,2,2104,12360,4,42754805,42767165
CCDC45,NA,NA,17,+,1,2669,30904,20,62503158,62534062
CCDC46,83610,201134,17,-,3,3378,556329,27,63631658,64187987
CCDC47,36282,57003,17,-,1,3406,28478,13,61822610,61851088
CCDC48,55628,79825,3,+,1,2683,39113,8,128720472,128759585
CCDC50,81045,152137,3,+,2,8674,69585,12,191046874,191116459
CCDC51,55517,79714,3,-,1,1502,7949,4,48473580,48481529
CCDC53,30502,51019,12,-,1,906,49182,7,102406717,102455899
CCDC54,58890,84692,3,+,1,1293,1293,1,107096188,107097481
CCDC55,58292,84081,17,+,1,2492,69652,7,28443834,28513486
CCDC56,28694,28958,17,-,1,751,1052,2,40949652,40950704
CCDC57,94140,284001,17,-,1,2980,111343,17,80059346,80170689
CCDC58,79461,131076,3,-,1,713,23638,5,122078436,122102074
CCDC59,28816,29080,12,-,2,1578,6308,4,82746083,82752392
CCDC6,7982,8030,10,-,1,5817,117908,9,61548506,61666414
CCDC60,81480,160777,12,+,1,2436,206335,14,119772517,119978852
CCDC61,181795,729440,19,+,1,1810,23535,15,46498339,46521874
CCDC62,58858,84660,12,+,3,3093,52854,13,123259073,123311927
CCDC63,81479,160762,12,+,1,1933,60527,12,111284811,111345338
CCDC64,60192,92558,12,+,1,3072,104651,9,120427648,120532299
CCDC64B,80523,146439,16,-,1,1802,7674,9,3077868,3085542
CCDC65,59626,85478,12,+,1,1807,17466,8,49297893,49315359
CCDC66,94543,285331,3,+,3,3099,64664,18,56591184,56655848
CCDC67,81460,159989,11,+,1,2652,107753,14,93063883,93171636
CCDC68,56124,80323,18,-,2,4068,57269,12,52568740,52626009
CCDC69,25861,26112,5,-,1,3390,43041,9,150560613,150603654
CCDC7,85694,221016,10,+,2,2025,128451,18,32735041,32863492
CCDC70,57690,83446,13,+,1,1152,4255,2,52436117,52440372
CCDC71,41449,64925,3,-,1,1810,3817,2,49199968,49203785
CCDC72,30853,51372,3,+,1,459,3851,4,48481686,48485537
CCDC73,142314,493860,11,-,1,3997,192561,18,32623626,32816187
CCDC74A,59937,90557,2,+,1,1449,5747,8,132285492,132291239
CCDC74B,60043,91409,2,-,1,1463,5769,8,130896862,130902631
CCDC75,90119,253635,2,+,1,1248,12144,9,37311594,37323738
CCDC76,33773,54482,1,+,1,3132,17348,11,100598706,100616054
CCDC77,58528,84318,12,+,4,2314,47178,12,504628,551806
CCDC78,78977,124093,16,-,1,1597,3891,14,772582,776473
CCDC79,94090,283847,16,-,1,2427,46644,19,66788879,66835523
CCDC8,58203,83987,19,-,1,3333,3333,1,46913586,46916919
CCDC80,81022,151887,3,-,2,4216,36568,8,112323409,112359977
CCDC81,37954,60494,11,+,2,2632,48373,14,86085778,86134151
CCDC82,55583,79780,11,-,1,2720,37154,10,96085929,96123083
CCDC83,85615,220047,11,+,1,2333,64907,12,85566144,85631051
CCDC84,109550,338657,11,+,1,1191,17603,11,118868852,118886455
CCDC85A,77524,114800,2,+,1,3977,202051,6,56411258,56613309
CCDC85B,10849,11007,11,+,1,1231,1231,1,65657875,65659106
CCDC85C,106012,317762,14,-,1,5665,93124,6,99977603,100070727
CCDC86,54919,79080,11,+,1,2011,9132,4,60609429,60618561
CCDC87,34520,55231,11,-,1,2914,2914,1,66357640,66360554
CCDC88A,34993,55704,2,-,2,9740,132079,32,55514978,55647057
CCDC88B,93893,283234,11,+,1,4893,17316,27,64107690,64125006
CCDC88C,133396,440193,14,-,1,7458,146466,30,91737667,91884133
CCDC89,85641,220388,11,-,1,2427,2427,1,85394893,85397320
CCDC9,25842,26093,19,+,1,2066,15479,12,47759731,47775210
CCDC90A,40576,63933,6,-,1,1220,23769,9,13791020,13814789
CCDC90B,37952,60492,11,-,1,1569,24875,9,82972502,82997377
CCDC91,34586,55297,12,+,1,2323,292966,12,28410133,28703099
CCDC92,56013,80212,12,-,1,1788,36208,5,124420955,124457163
CCDC93,33811,54520,2,-,1,6905,98685,24,118673054,118771739
CCDC94,34991,55702,19,+,1,1389,21974,8,4247111,4269085
CCDC96,90405,257236,4,-,1,2152,2152,1,7042576,7044728
CCDC97,59885,90324,19,+,1,3317,14694,5,41816094,41830788
CCDC99,34197,54908,5,+,1,2655,21143,12,169010638,169031781
CCHCR1,33826,54535,6,-,3,2832,15350,18,31110216,31125566
CCIN,877,881,9,+,1,1942,1942,1,36169389,36171331
CCK,880,885,3,-,2,1114,7232,4,42299318,42306550
CCKAR,881,886,4,-,1,1677,9024,5,26483018,26492042
CCKBR,882,887,11,+,1,2115,12390,5,6280966,6293356
CCL1,6311,6346,17,-,1,539,2853,3,32687399,32690252
CCL11,6321,6356,17,+,1,922,2512,3,32612687,32615199
CCL13,6322,6357,17,+,1,848,2158,3,32683471,32685629
CCL14,6323,6358,17,-,2,526,3072,4,34310692,34313764
CCL14-CCL15,110378,348249,17,-,2,1440,18392,8,34310692,34329084
CCL15,6324,6359,17,-,1,1076,4466,4,34324618,34329084
CCL16,6325,6360,17,-,1,1494,4988,3,34303535,34308523
CCL17,6326,6361,16,+,1,611,11295,4,57438679,57449974
CCL18,6327,6362,17,+,1,767,7198,3,34391643,34398841
CCL19,6328,6363,9,-,1,680,1707,4,34689567,34691274
CCL2,6312,6347,17,+,1,744,1924,3,32582296,32584220
CCL20,6329,6364,2,+,2,836,3722,4,228678558,228682280
CCL21,6331,6366,9,-,1,874,1145,4,34709002,34710147
CCL22,6332,6367,16,+,1,2915,7407,3,57392695,57400102
CCL23,6333,6368,17,-,2,596,4908,4,34340097,34345005
CCL24,6334,6369,7,-,1,357,1919,3,75441114,75443033
CCL25,6335,6370,19,+,1,886,9613,5,8117934,8127547
CCL26,10197,10344,7,-,1,558,20222,4,75398842,75419064
CCL27,10692,10850,9,-,1,443,796,3,34661893,34662689
CCL28,35757,56477,5,-,1,813,30888,3,43381600,43412488
CCL3,6313,6348,17,-,1,793,1903,3,34415603,34417506
CCL3L1,6314,6349,17,-,2,780,1888,3,34573055,34574943
CCL3L3,128449,414062,17,-,2,771,1879,3,34573055,34574934
CCL4,6316,6351,17,+,1,664,1794,3,34431220,34433014
CCL4L1,9418,9560,17,+,2,655,1806,3,34589251,34591057
CCL4L2,122945,388372,17,+,2,655,1806,3,34589251,34591057
CCL5,6317,6352,17,-,1,1226,8881,3,34198496,34207377
CCL7,6319,6354,17,+,1,802,2016,3,32597240,32599256
CCL8,6320,6355,17,+,1,1247,2355,3,32646066,32648421
CCM2,57847,83605,7,+,5,1820,76282,10,45039787,45116069
CCNA1,8821,8900,13,+,4,1894,10831,9,37006188,37017019
CCNA2,885,890,4,-,1,2790,7489,8,122737599,122745088
CCNB1,886,891,5,+,1,2082,11157,9,68462913,68474070
CCNB1IP1,37091,57820,14,-,4,1550,19968,7,20779529,20799496
CCNB2,9010,9133,15,+,1,1504,19924,9,59397320,59417244
CCNB3,59576,85417,X,+,2,2845,67371,10,50027540,50094911
CCNC,887,892,6,-,2,2184,26427,12,99990263,100016690
CCND1,592,595,11,+,1,4284,13369,5,69455873,69469242
CCND2,889,894,12,+,1,6517,31620,5,4382902,4414522
CCND3,891,896,6,-,4,1943,60410,4,41902671,41963081
CCNDBP1,23336,23582,15,+,4,2406,10763,10,43477466,43488229
CCNE1,893,898,19,+,2,1854,11988,11,30303231,30315219
CCNE2,9011,9134,8,-,1,2714,15029,12,95892453,95907482
CCNF,894,899,16,+,1,4270,29464,17,2479395,2508859
CCNG1,895,900,5,+,2,2410,7445,8,162864577,162872022
CCNG2,896,901,4,+,1,5466,12856,8,78078357,78091213
CCNH,897,902,5,-,2,1443,18706,9,86690079,86708786
CCNI,10825,10983,4,-,1,1866,27948,7,77969177,77997125
CCNI2,152864,645121,5,+,1,2349,6719,6,132083137,132089856
CCNJ,33910,54619,10,+,3,4099,17466,6,97803159,97820625
CCNJL,55419,79616,5,-,1,3267,60902,7,159678671,159739573
CCNK,8735,8812,14,+,1,2595,30113,11,99947739,99977852
CCNL1,36296,57018,3,-,1,2613,12896,11,156865586,156878482
CCNL2,57351,81669,1,-,2,2152,10338,8,1324380,1334718
CCNO,10163,10309,5,-,1,1429,2527,3,54526981,54529508
CCNT1,899,904,12,-,1,2559,24029,9,49086752,49110781
CCNT2,900,905,2,+,3,6898,40523,10,135676392,135716915
CCNY,85565,219771,10,+,2,3934,279970,11,35580878,35860847
CCNYL1,80958,151195,2,+,2,3699,44632,10,208576264,208620896
CCPG1,9111,9236,15,-,2,6674,53120,8,55647438,55700558
CCR1,1221,1230,3,-,1,2674,6632,2,46243200,46249832
CCR10,2809,2826,17,-,1,1242,2425,2,40831420,40833845
CCR2,170406,729230,3,+,2,2501,6406,2,46395235,46401640
CCR3,1223,1232,3,+,4,1778,24325,3,46283872,46308197
CCR4,1224,1233,3,+,1,1655,3337,2,32993066,32996403
CCR5,1225,1234,3,+,2,3540,6064,3,46411633,46417697
CCR6,1226,1235,6,+,2,3344,21861,3,167530768,167552629
CCR7,1227,1236,17,-,1,2181,11714,3,38710022,38721736
CCR8,1228,1237,3,+,1,1485,3974,2,39371197,39375171
CCR9,10645,10803,3,+,3,2564,16671,3,45927996,45944667
CCRL1,31034,51554,3,+,2,2312,3844,2,132317538,132321382
CCRL2,8914,9034,3,+,2,1659,2129,2,46448885,46451014
CCRN4L,25568,25819,4,+,1,1953,30152,3,139936943,139967095
CCS,9829,9973,11,+,1,1024,12800,8,66360690,66373490
CCT2,10429,10576,12,+,2,2054,16022,16,69979335,69995357
CCT3,7160,7203,1,-,4,2149,29454,14,156278752,156308206
CCT4,10428,10575,2,-,1,2320,20529,14,62095262,62115791
CCT5,22703,22948,5,+,1,3392,16219,11,10250282,10266501
CCT6A,903,908,7,+,2,2583,12304,14,56119378,56131682
CCT6B,10546,10693,17,-,3,1774,33650,13,33254878,33288528
CCT6P1,158978,643253,7,+,1,1754,12570,12,65216092,65228662
CCT6P3,135501,643180,7,+,1,2233,36359,11,64498732,64535091
CCT7,10427,10574,2,+,6,1824,18786,11,73461364,73480150
CCT8,10547,10694,21,-,1,1879,17362,15,30428648,30446010
CCT8L2,NA,NA,22,-,1,2052,2052,1,17071648,17073700
CCZ1,NA,NA,7,+,1,1809,27262,15,5938341,5965603
CD101,NA,NA,1,+,1,3537,34785,10,117544382,117579167
CD109,79632,135228,6,+,3,9369,132533,33,74405508,74538041
CD14,924,929,5,-,4,1589,1973,3,140011313,140013286
CD151,972,977,11,+,4,1508,5883,8,832952,838835
CD160,10967,11126,1,-,1,1553,19767,6,145695798,145715565
CD163,9198,9332,12,-,2,4134,33004,17,7623410,7656414
CD163L1,93915,283316,12,-,1,4562,89192,20,7507557,7596749
CD164,8690,8763,6,-,5,3050,16045,6,109687717,109703762
CD164L2,123061,388611,1,-,1,1534,4209,5,27705596,27709805
CD177,36404,57126,19,+,1,2355,9655,9,43857825,43867480
CD180,4039,4064,5,-,1,2712,14513,3,66478104,66492617
CD19,925,930,16,+,2,1942,7408,15,28943260,28950668
CD1A,904,909,1,+,1,2089,4131,6,158223927,158228058
CD1B,905,910,1,-,1,1390,3581,6,158297740,158301321
CD1C,906,911,1,+,1,2586,5001,6,158259563,158264564
CD1D,907,912,1,+,1,3776,6479,7,158149737,158156216
CD1E,908,913,1,+,13,1806,3857,5,158323486,158327343
CD2,909,914,1,+,1,1526,14765,5,117297086,117311851
CD200,4319,4345,3,+,2,2246,29742,6,112051916,112081658
CD200R1,79472,131450,3,-,4,1608,49288,6,112644648,112693937
CD200R1L,110141,344807,3,-,2,1324,30241,6,112534556,112564797
CD207,29979,50489,2,-,1,1866,5610,6,71057343,71062953
CD209,29826,30835,19,-,8,4218,7583,6,7804881,7812464
CD22,928,933,19,+,4,3088,18192,13,35820072,35838264
CD226,10519,10666,18,-,1,2630,94039,7,67530193,67624232
CD24,929,100133941,Y,-,1,2179,2179,1,21152526,21154705
CD244,31224,51744,1,-,3,2501,32742,9,160799950,160832692
CD247,914,919,1,-,2,1672,87970,8,167399877,167487847
CD248,36402,57124,11,-,1,2557,2557,1,66081958,66084515
CD27,934,939,12,+,1,1314,6833,6,6554051,6560884
CD274,28861,29126,9,+,1,3679,20064,7,5450503,5470567
CD276,56155,80381,15,+,2,3065,30237,9,73976622,74006859
CD28,935,940,2,+,1,3803,31359,4,204571198,204602557
CD2AP,23361,23607,6,+,1,5391,149471,18,47445525,47594996
CD2BP2,10274,10421,16,-,2,3453,4382,6,30362087,30366468
CD300A,11150,11314,17,+,1,1882,18411,7,72462522,72480933
CD300C,10713,10871,17,-,1,1513,5035,4,72537247,72542282
CD300E,109990,342510,17,-,1,3521,13875,4,72606022,72619897
CD300LB,79012,124599,17,-,1,2290,10300,4,72517313,72527613
CD300LD,1000623,100131439,17,-,1,640,12259,4,72576111,72588370
CD300LF,80544,146722,17,-,1,1752,18656,7,72690452,72709108
CD300LG,80566,146894,17,+,4,1342,11086,6,41924516,41935602
CD302,9792,9936,2,-,3,3863,29627,5,160625139,160654766
CD320,30774,51293,19,-,2,1184,6229,4,8367011,8373240
CD33,940,945,19,+,3,1101,14939,7,51728335,51743274
CD34,942,947,1,-,2,2706,24800,8,208059883,208084683
CD36,943,948,7,+,5,2051,35902,14,80267832,80303734
CD37,946,951,19,+,2,1218,5184,8,49838677,49843861
CD38,947,952,4,+,1,1483,70775,8,15779931,15850706
CD3D,910,915,11,-,2,670,3670,4,118209789,118213459
CD3E,911,916,11,+,1,1504,11595,9,118175295,118186890
CD3EAP,10691,10849,19,+,1,3283,4557,3,45909467,45914024
CD3G,912,917,11,+,1,1304,9438,7,118215059,118224497
CD4,915,920,12,+,6,2780,31284,8,6898692,6929976
CD40,953,958,20,+,2,1576,11478,8,44746906,44758384
CD40LG,954,959,X,+,1,1828,12213,5,135730336,135742549
CD44,955,960,11,+,5,4973,93532,12,35160417,35253949
CD46,4154,4179,1,+,8,3265,43478,12,207925383,207968861
CD47,956,961,3,-,2,5307,47994,10,107761941,107809935
CD48,957,962,1,-,1,1066,33049,4,160648536,160681585
CD5,916,921,11,+,1,3146,25393,11,60869930,60895323
CD52,1037,1043,1,+,1,503,2603,2,26644411,26647014
CD53,958,963,1,+,2,1561,27786,8,111414772,111442558
CD55,1592,1604,1,+,2,2844,39494,10,207494817,207534311
CD58,960,965,1,-,3,1182,56559,6,117057156,117113715
CD59,961,966,11,-,8,7666,26706,4,33724556,33751262
CD5L,917,922,1,-,1,2231,10930,6,157800704,157811634
CD6,918,923,11,+,1,3275,48733,13,60739115,60787848
CD63,962,967,12,-,2,1006,3680,8,56119230,56122910
CD68,963,968,17,+,2,1809,2624,6,7482806,7485429
CD69,964,969,12,-,3,1016,6762,4,9906735,9913497
CD7,919,924,17,-,1,1279,2734,4,80272746,80275480
CD70,965,970,19,-,1,910,5313,3,6585850,6591163
CD72,966,971,9,-,1,1539,8448,9,35609976,35618424
CD74,967,972,5,-,3,1303,11121,8,149781202,149792323
CD79A,968,973,19,+,2,1196,4249,5,42381190,42385439
CD79B,969,974,17,-,3,1255,3606,6,62006098,62009704
CD80,936,941,3,-,1,2750,35341,7,119243140,119278481
CD81,970,975,11,+,1,1489,20102,8,2398547,2418649
CD82,3707,3732,11,+,2,1644,54174,10,44587141,44641315
CD83,9175,9308,6,+,2,2470,19283,5,14117865,14137148
CD84,8755,8832,1,-,4,8172,38422,6,160510884,160549306
CD86,937,942,3,+,2,2708,54498,7,121785486,121839983
CD8A,920,925,2,-,4,2851,7109,6,87011728,87018837
CD8B,921,926,2,-,5,1055,46587,6,87042460,87089047
CD9,923,928,12,+,1,1223,37872,8,6309555,6347427
CD93,22674,22918,20,-,1,6699,6984,2,23059993,23066977
CD96,10079,10225,3,+,2,4442,110280,14,111260926,111371206
CD97,971,976,19,+,3,3067,27322,19,14492213,14519535
CD99,4242,4267,X,+,4,1204,50122,10,2584228,2634350
CD99L2,57934,83692,X,-,4,3525,132480,8,149934809,150067289
CD99P1,125701,401577,X,+,4,2004,38514,10,2502306,2540820
CDA,973,978,1,+,1,955,29956,4,20915444,20945400
CDADC1,57284,81602,13,+,3,3214,45575,10,49822047,49867622
CDAN1,80494,146059,15,-,1,4702,13657,28,43015760,43029417
CDC123,8793,8872,10,+,1,1535,54628,13,12237961,12292589
CDC14A,8490,8556,1,+,3,2533,146998,15,100818023,100965021
CDC14B,8489,8555,9,-,3,5459,119717,14,99262395,99382112
CDC14C,81724,168448,7,+,1,2892,2892,1,48964157,48967049
CDC16,8802,8881,13,+,2,2234,37788,18,115000362,115038150
CDC20,986,991,1,+,1,1663,4247,11,43824626,43828873
CDC20B,81691,166979,5,-,3,2960,60206,12,54408799,54469005
CDC23,8628,8697,5,-,1,3139,25695,16,137523337,137549032
CDC25A,988,993,3,-,2,3632,31133,14,48198668,48229801
CDC25B,989,994,20,+,3,3616,10360,16,3776401,3786761
CDC25C,990,995,5,-,2,1993,46557,12,137620959,137667516
CDC26,89695,246184,9,-,1,866,8579,4,116029290,116037869
CDC27,991,996,17,-,2,5582,71354,19,45195311,45266665
CDC34,992,997,19,+,1,1440,10354,5,531733,542087
CDC37,10981,11140,19,-,1,1663,12462,8,10501809,10514271
CDC37L1,34953,55664,9,+,1,1691,27028,7,4679566,4706594
CDC40,30843,51362,6,+,1,3837,51798,15,110501624,110553422
CDC42,993,998,1,+,3,2162,40316,6,22379120,22419436
CDC42BPA,8412,8476,1,-,2,10349,328260,36,227177566,227505826
CDC42BPB,NA,NA,14,-,1,6664,125026,37,103398716,103523742
CDC42BPG,34850,55561,11,-,1,4902,20379,37,64591662,64612041
CDC42EP1,10976,11135,22,+,1,2159,8939,3,37956471,37965410
CDC42EP2,10288,10435,11,+,1,1979,7569,2,65082331,65089900
CDC42EP3,10455,10602,2,-,1,3979,28583,2,37870743,37899326
CDC42EP4,23334,23580,17,-,1,3099,28380,2,71279763,71308143
CDC42EP5,80686,148170,19,-,1,872,8212,3,54976210,54984422
CDC42SE1,36161,56882,1,-,2,3110,8678,6,151023447,151032125
CDC42SE2,36269,56990,5,+,2,3566,130680,6,130599702,130730382
CDC45,NA,NA,22,+,3,1891,40721,19,19467414,19508135
CDC5L,983,988,6,+,1,2984,59478,16,44355302,44414780
CDC6,985,990,17,+,1,3041,15267,12,38444146,38459413
CDC7,8259,8317,1,+,3,3207,24917,12,91966404,91991321
CDC73,55380,79577,1,+,1,5922,132854,17,193091088,193223942
CDCA2,81280,157313,8,+,1,3705,48912,15,25316513,25365425
CDCA3,57705,83461,12,-,1,1164,2484,6,6957972,6960456
CDCA4,34327,55038,14,-,2,2188,11515,2,105475910,105487425
CDCA5,76638,113130,11,-,1,2570,6688,6,64844927,64851615
CDCA7,58113,83879,2,+,2,2682,14157,10,174219561,174233718
CDCA7L,34825,55536,7,-,3,2898,45025,10,21940517,21985542
CDCA8,34432,55143,1,+,1,2292,17232,11,38158159,38175391
CDCP1,41429,64866,3,-,2,3694,50164,6,45137750,45187914
CDCP2,83518,200008,1,-,1,2719,14775,4,54604668,54619443
CDH1,994,999,16,+,1,4799,98249,16,68771195,68869444
CDH10,1003,1008,5,-,2,2570,85148,8,24487209,24572358
CDH11,1004,1009,16,-,1,3635,175236,13,64980683,65155919
CDH12,1005,1010,5,-,1,4330,1102758,15,21750973,22853731
CDH13,1007,1012,16,+,1,3812,1169621,14,82660578,83830199
CDH15,1008,1013,16,+,1,2845,23737,14,89238163,89261900
CDH16,1009,1014,16,-,1,2815,10741,18,66942025,66952766
CDH17,1010,1015,8,-,2,3680,85779,18,95139394,95225173
CDH18,1011,1016,5,-,2,3020,515198,13,19473155,19988353
CDH19,28249,28513,18,-,1,3173,99895,12,64171321,64271216
CDH2,995,1000,18,-,1,4351,226515,16,25530930,25757445
CDH20,28053,28316,18,+,1,2844,64590,11,59157775,59222365
CDH22,41006,64405,20,-,1,3646,77958,11,44802376,44880334
CDH23,40705,64072,10,+,9,3929,220671,22,73156691,73575704
CDH24,41004,64403,14,-,2,3482,10477,14,23516270,23526747
CDH26,37897,60437,20,+,2,2130,35724,12,58552444,58588168
CDH3,996,1001,16,+,1,4260,54806,16,68678151,68732957
CDH4,997,1002,20,+,1,3044,684740,16,59827559,60512299
CDH5,998,1003,16,+,1,4116,38164,12,66400525,66438689
CDH6,999,1004,5,+,1,4509,131441,12,31193796,31325237
CDH7,1000,1005,18,+,2,2766,130352,12,63417822,63548174
CDH8,1001,1006,16,-,1,2917,382801,12,61687235,62070036
CDH9,1002,1007,5,-,1,3063,157980,12,26880709,27038689
CDHR1,NA,NA,10,+,2,4041,23836,17,85954412,85978248
CDHR2,NA,NA,5,+,2,4178,49842,32,175972928,176022769
CDHR3,NA,NA,7,+,1,6481,73220,19,105603657,105676877
CDHR4,NA,NA,3,-,1,2455,9087,19,49828167,49837254
CDHR5,NA,NA,11,-,3,3456,8502,15,616565,625067
CDIPT,10276,10423,16,-,1,1868,4900,6,29869678,29874578
CDK1,NA,NA,10,+,4,1744,12568,6,62538212,62550718
CDK10,8492,8558,16,+,6,1721,9696,13,89753076,89762772
CDK11A,NA,NA,1,-,2,2592,21621,20,1634170,1655791
CDK11B,NA,NA,1,-,6,2430,84675,20,1571100,1655775
CDK12,NA,NA,17,+,2,8262,73061,14,37617739,37690800
CDK13,NA,NA,7,+,2,6871,146774,14,39989959,40136733
CDK14,NA,NA,7,+,1,4939,501192,14,90338712,90839904
CDK15,NA,NA,2,+,1,1517,87065,14,202671198,202758263
CDK16,NA,NA,X,+,3,3137,11318,16,47078076,47089394
CDK17,NA,NA,12,-,2,4432,122327,16,96672039,96794366
CDK18,NA,NA,1,+,3,3168,28237,16,205473684,205501921
CDK19,NA,NA,6,-,1,6126,205231,13,110931181,111136412
CDK2,1012,1017,12,+,2,2236,6012,6,56360556,56366568
CDK20,NA,NA,9,-,5,2323,8336,7,90581359,90589695
CDK2AP1,8048,8099,12,-,1,1609,11147,4,123745540,123756687
CDK2AP2,10117,10263,11,-,1,1374,2134,4,67273968,67276102
CDK3,1013,1018,17,+,1,1562,5093,8,73996987,74002080
CDK4,1014,1019,12,-,1,1435,4161,8,58142003,58146164
CDK5,1015,1020,7,-,2,1132,4152,12,150750900,150755052
CDK5R1,8774,8851,17,+,1,3852,4166,2,30814105,30818271
CDK5R2,8862,8941,2,+,1,2479,2479,1,219824398,219826877
CDK5RAP1,31134,51654,20,-,2,2004,42692,14,31946645,31989337
CDK5RAP2,35044,55755,9,-,2,6074,191290,38,123151147,123342437
CDK5RAP3,56080,80279,17,+,1,1870,10718,14,46048429,46059147
CDK6,1016,1021,7,-,2,11656,230351,8,92234235,92464586
CDK7,1017,1022,5,+,1,1505,42635,12,68530622,68573257
CDK8,1018,1024,13,+,1,1756,149813,13,26828756,26978569
CDK9,1019,1025,9,+,1,2465,4747,7,130548305,130553052
CDKAL1,34190,54901,6,+,1,3255,697946,16,20534688,21232634
CDKL1,8737,8814,14,-,1,1168,65897,9,50796720,50862617
CDKL2,8890,8999,4,-,1,4703,54017,12,76501704,76555721
CDKL3,30746,51265,5,-,2,1862,63862,11,133638904,133702765
CDKL4,110116,344387,2,-,1,1559,50985,8,39405688,39456673
CDKL5,6752,6792,X,+,2,3408,219714,22,18452034,18671749
CDKN1A,1020,1026,6,+,5,2156,10802,3,36644314,36655116
CDKN1B,1021,1027,12,+,1,2410,5003,3,12870302,12875305
CDKN1C,1022,1028,11,-,3,1759,2547,4,2904448,2906995
CDKN2A,1023,1029,9,-,4,1235,7381,3,21967751,21975132
CDKN2AIP,34891,55602,4,+,1,2371,3260,3,184365789,184369049
CDKN2AIPNL,60034,91368,5,-,1,1251,9842,3,133737756,133747598
CDKN2B,1024,1030,9,-,2,3920,6410,2,22002902,22009312
CDKN2B-AS1,NA,NA,9,+,1,3815,126303,19,21994790,22121093
CDKN2C,1025,1031,1,+,2,1678,5303,2,51435004,51440308
CDKN2D,1026,1032,19,-,2,1270,2505,2,10677138,10679643
