Source Name	Comment[ENA_SAMPLE]	Material Type	Characteristics[organism part]	Characteristics[organism]	Characteristics[sex]	Characteristics[developmental stage]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[LIBRARY_LAYOUT]	Comment[ORIENTATION]	Comment[NOMINAL_LENGTH]	Protocol REF	Term Source REF	Performer	Assay Name	Technology Type	Comment[technical replicate group]	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[MD5]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Factor Value[organism part]
bonemarrow_6a	ERS326989	organism part	bone marrow	Homo sapiens	  	adult	P-MTAB-33470	ArrayExpress	P-MTAB-33471	ArrayExpress	P-MTAB-33472	ArrayExpress	V248	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	407	P-MTAB-33473	ArrayExpress	Science for Life Laboratory, Stockholm	2_130313_AH0CCDADXX_P415_113_index13	sequencing assay	group 8	ERX288551	2_130313_AH0CCDADXX_P415_113_index13_2.fastq.gz	2_130313_AH0CCDADXX_P415_113_index13_2.fastq.gz	ERR315396	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315396/ERR315396_2.fastq.gz	4e194f4517d619e48199feb5a9f97281	102	209	bone marrow
bonemarrow_6b	ERS327002	organism part	bone marrow	Homo sapiens	  	adult	P-MTAB-33470	ArrayExpress	P-MTAB-33471	ArrayExpress	P-MTAB-33472	ArrayExpress	V249	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	392	P-MTAB-33473	ArrayExpress	Science for Life Laboratory, Stockholm	1_130313_AH0CCDADXX_P415_114F_index14	sequencing assay	group 9	ERX288600	1_130313_AH0CCDADXX_P415_114F_index14_1.fastq.gz	1_130313_AH0CCDADXX_P415_114F_index14_1.fastq.gz	ERR315404	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315404/ERR315404_1.fastq.gz	8967c71af3dcbefa4b835bebd644e943	102	209	bone marrow
bonemarrow_6b	ERS327002	organism part	bone marrow	Homo sapiens	  	adult	P-MTAB-33470	ArrayExpress	P-MTAB-33471	ArrayExpress	P-MTAB-33472	ArrayExpress	V249	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	392	P-MTAB-33473	ArrayExpress	Science for Life Laboratory, Stockholm	1_130313_AH0CCDADXX_P415_114F_index14	sequencing assay	group 9	ERX288600	1_130313_AH0CCDADXX_P415_114F_index14_2.fastq.gz	1_130313_AH0CCDADXX_P415_114F_index14_2.fastq.gz	ERR315404	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315404/ERR315404_2.fastq.gz	8a99bca72ecf08b82e38ad621ad63c0d	102	209	bone marrow
bonemarrow_6b	ERS327002	organism part	bone marrow	Homo sapiens	  	adult	P-MTAB-33470	ArrayExpress	P-MTAB-33471	ArrayExpress	P-MTAB-33472	ArrayExpress	V249	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	392	P-MTAB-33473	ArrayExpress	Science for Life Laboratory, Stockholm	2_130313_AH0CCDADXX_P415_114F_index14	sequencing assay	group 9	ERX288576	2_130313_AH0CCDADXX_P415_114F_index14_1.fastq.gz	2_130313_AH0CCDADXX_P415_114F_index14_1.fastq.gz	ERR315406	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315406/ERR315406_1.fastq.gz	2b318d772f466162226a2af1b574cb03	102	209	bone marrow
bonemarrow_6b	ERS327002	organism part	bone marrow	Homo sapiens	  	adult	P-MTAB-33470	ArrayExpress	P-MTAB-33471	ArrayExpress	P-MTAB-33472	ArrayExpress	V249	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	392	P-MTAB-33473	ArrayExpress	Science for Life Laboratory, Stockholm	2_130313_AH0CCDADXX_P415_114F_index14	sequencing assay	group 9	ERX288576	2_130313_AH0CCDADXX_P415_114F_index14_2.fastq.gz	2_130313_AH0CCDADXX_P415_114F_index14_2.fastq.gz	ERR315406	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315406/ERR315406_2.fastq.gz	062596a0ac5ee719fb31a98c24571494	102	209	bone marrow
bonemarrow_6c	ERS326942	organism part	bone marrow	Homo sapiens	  	adult	P-MTAB-33470	ArrayExpress	P-MTAB-33471	ArrayExpress	P-MTAB-33472	ArrayExpress	V250	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	383	P-MTAB-33473	ArrayExpress	Science for Life Laboratory, Stockholm	1_130313_AH0CCDADXX_P415_115_index15	sequencing assay	group 10	ERX288484	1_130313_AH0CCDADXX_P415_115_index15_1.fastq.gz	1_130313_AH0CCDADXX_P415_115_index15_1.fastq.gz	ERR315395	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315395/ERR315395_1.fastq.gz	2ab74beadc784ed2ac070abb2e19a1fe	102	209	bone marrow
bonemarrow_6c	ERS326942	organism part	bone marrow	Homo sapiens	  	adult	P-MTAB-33470	ArrayExpress	P-MTAB-33471	ArrayExpress	P-MTAB-33472	ArrayExpress	V250	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	383	P-MTAB-33473	ArrayExpress	Science for Life Laboratory, Stockholm	1_130313_AH0CCDADXX_P415_115_index15	sequencing assay	group 10	ERX288484	1_130313_AH0CCDADXX_P415_115_index15_2.fastq.gz	1_130313_AH0CCDADXX_P415_115_index15_2.fastq.gz	ERR315395	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315395/ERR315395_2.fastq.gz	e7601a2842965b758e08a95d15d1d8f0	102	209	bone marrow
bonemarrow_6c	ERS326942	organism part	bone marrow	Homo sapiens	  	adult	P-MTAB-33470	ArrayExpress	P-MTAB-33471	ArrayExpress	P-MTAB-33472	ArrayExpress	V250	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	383	P-MTAB-33473	ArrayExpress	Science for Life Laboratory, Stockholm	2_130313_AH0CCDADXX_P415_115_index15	sequencing assay	group 10	ERX288540	2_130313_AH0CCDADXX_P415_115_index15_1.fastq.gz	2_130313_AH0CCDADXX_P415_115_index15_1.fastq.gz	ERR315333	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315333/ERR315333_1.fastq.gz	c43b28167aabad746b310d5cdae1288c	102	209	bone marrow
bonemarrow_6c	ERS326942	organism part	bone marrow	Homo sapiens	  	adult	P-MTAB-33470	ArrayExpress	P-MTAB-33471	ArrayExpress	P-MTAB-33472	ArrayExpress	V250	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	383	P-MTAB-33473	ArrayExpress	Science for Life Laboratory, Stockholm	2_130313_AH0CCDADXX_P415_115_index15	sequencing assay	group 10	ERX288540	2_130313_AH0CCDADXX_P415_115_index15_2.fastq.gz	2_130313_AH0CCDADXX_P415_115_index15_2.fastq.gz	ERR315333	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315333/ERR315333_2.fastq.gz	c4c2937a0cb5f2f17514c95496b3a49a	102	209	bone marrow
brain_3b	ERS327019	organism part	cerebral cortex	Homo sapiens	  	adult	P-MTAB-33470	ArrayExpress	P-MTAB-33471	ArrayExpress	P-MTAB-33472	ArrayExpress	V102	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	397	P-MTAB-33473	ArrayExpress	Science for Life Laboratory, Stockholm	6_130103_AD1J0JACXX_P262_159D_index8	sequencing assay	group 11	ERX288614	6_130103_AD1J0JACXX_P262_159D_index8_1.fastq.gz	6_130103_AD1J0JACXX_P262_159D_index8_1.fastq.gz	ERR315477	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315477/ERR315477_1.fastq.gz	5b2e7724200f682367bbb8d9aa49f433	102	209	cerebral cortex
brain_3b	ERS327019	organism part	cerebral cortex	Homo sapiens	  	adult	P-MTAB-33470	ArrayExpress	P-MTAB-33471	ArrayExpress	P-MTAB-33472	ArrayExpress	V102	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	397	P-MTAB-33473	ArrayExpress	Science for Life Laboratory, Stockholm	6_130103_AD1J0JACXX_P262_159D_index8	sequencing assay	group 11	ERX288614	6_130103_AD1J0JACXX_P262_159D_index8_2.fastq.gz	6_130103_AD1J0JACXX_P262_159D_index8_2.fastq.gz	ERR315477	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315477/ERR315477_2.fastq.gz	1f1a17c53b37f44536f472f75e156679	102	209	cerebral cortex
brain_3c	ERS326996	organism part	cerebral cortex	Homo sapiens	  	adult	P-MTAB-33470	ArrayExpress	P-MTAB-33471	ArrayExpress	P-MTAB-33472	ArrayExpress	V103	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	385	P-MTAB-33473	ArrayExpress	Science for Life Laboratory, Stockholm	6_130103_AD1J0JACXX_P262_160D_index9	sequencing assay	group 12	ERX288561	6_130103_AD1J0JACXX_P262_160D_index9_1.fastq.gz	6_130103_AD1J0JACXX_P262_160D_index9_1.fastq.gz	ERR315455	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315455/ERR315455_1.fastq.gz	223285c1127c42f89625e21882311293	102	209	cerebral cortex
brain_3c	ERS326996	organism part	cerebral cortex	Homo sapiens	  	adult	P-MTAB-33470	ArrayExpress	P-MTAB-33471	ArrayExpress	P-MTAB-33472	ArrayExpress	V103	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	385	P-MTAB-33473	ArrayExpress	Science for Life Laboratory, Stockholm	6_130103_AD1J0JACXX_P262_160D_index9	sequencing assay	group 12	ERX288561	6_130103_AD1J0JACXX_P262_160D_index9_2.fastq.gz	6_130103_AD1J0JACXX_P262_160D_index9_2.fastq.gz	ERR315455	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315455/ERR315455_2.fastq.gz	48bbb033bda1ed9cc42127961b471df8	102	209	cerebral cortex
brain_a	ERS327024	organism part	cerebral cortex	Homo sapiens	  	adult	P-MTAB-33470	ArrayExpress	P-MTAB-33471	ArrayExpress	P-MTAB-33472	ArrayExpress	V29	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	336	P-MTAB-33473	ArrayExpress	Science for Life Laboratory, Stockholm	3_120522_AC0R42ACXX_P189_124_index10	sequencing assay	group 13	ERX288639	3_120522_AC0R42ACXX_P189_124_index10_1.fastq.gz	3_120522_AC0R42ACXX_P189_124_index10_1.fastq.gz	ERR315432	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315432/ERR315432_1.fastq.gz	2df4b63032f18c301991817288becae7	102	209	cerebral cortex
brain_a	ERS327024	organism part	cerebral cortex	Homo sapiens	  	adult	P-MTAB-33470	ArrayExpress	P-MTAB-33471	ArrayExpress	P-MTAB-33472	ArrayExpress	V29	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	336	P-MTAB-33473	ArrayExpress	Science for Life Laboratory, Stockholm	3_120522_AC0R42ACXX_P189_124_index10	sequencing assay	group 13	ERX288639	3_120522_AC0R42ACXX_P189_124_index10_2.fastq.gz	3_120522_AC0R42ACXX_P189_124_index10_2.fastq.gz	ERR315432	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315432/ERR315432_2.fastq.gz	35a9c3585ad794f57ee9d42f24ad2d0e	102	209	cerebral cortex
colon_a	ERS326931	organism part	colon	Homo sapiens	  	adult	P-MTAB-33470	ArrayExpress	P-MTAB-33471	ArrayExpress	P-MTAB-33472	ArrayExpress	V10	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	563	P-MTAB-33473	ArrayExpress	Science for Life Laboratory, Stockholm	2_120522_AC0R42ACXX_P189_108_index8	sequencing assay	group 14	ERX288473	2_120522_AC0R42ACXX_P189_108_index8_1.fastq.gz	2_120522_AC0R42ACXX_P189_108_index8_1.fastq.gz	ERR315348	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315348/ERR315348_1.fastq.gz	e79770c437696565f7fda149e0ec89de	102	209	colon
colon_a	ERS326931	organism part	colon	Homo sapiens	  	adult	P-MTAB-33470	ArrayExpress	P-MTAB-33471	ArrayExpress	P-MTAB-33472	ArrayExpress	V10	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	563	P-MTAB-33473	ArrayExpress	Science for Life Laboratory, Stockholm	2_120522_AC0R42ACXX_P189_108_index8	sequencing assay	group 14	ERX288473	2_120522_AC0R42ACXX_P189_108_index8_2.fastq.gz	2_120522_AC0R42ACXX_P189_108_index8_2.fastq.gz	ERR315348	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315348/ERR315348_2.fastq.gz	3034068aa6e6deb3c1a46218cd9e5c9f	102	209	colon
colon_b	ERS326990	organism part	colon	Homo sapiens	  	adult	P-MTAB-33470	ArrayExpress	P-MTAB-33471	ArrayExpress	P-MTAB-33472	ArrayExpress	V11	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	403	P-MTAB-33473	ArrayExpress	Science for Life Laboratory, Stockholm	5_120522_AC0R42ACXX_P189_110_index10	sequencing assay	group 15	ERX288553	5_120522_AC0R42ACXX_P189_110_index10_1.fastq.gz	5_120522_AC0R42ACXX_P189_110_index10_1.fastq.gz	ERR315403	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315403/ERR315403_1.fastq.gz	0611d849c9fd2911bba32111192cf1ee	102	209	colon
colon_b	ERS326990	organism part	colon	Homo sapiens	  	adult	P-MTAB-33470	ArrayExpress	P-MTAB-33471	ArrayExpress	P-MTAB-33472	ArrayExpress	V11	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	403	P-MTAB-33473	ArrayExpress	Science for Life Laboratory, Stockholm	5_120522_AC0R42ACXX_P189_110_index10	sequencing assay	group 15	ERX288553	5_120522_AC0R42ACXX_P189_110_index10_2.fastq.gz	5_120522_AC0R42ACXX_P189_110_index10_2.fastq.gz	ERR315403	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315403/ERR315403_2.fastq.gz	779978b92ea997d2bc3406f52801477f	102	209	colon
colon_b	ERS326990	organism part	colon	Homo sapiens	  	adult	P-MTAB-33470	ArrayExpress	P-MTAB-33471	ArrayExpress	P-MTAB-33472	ArrayExpress	V11	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	403	P-MTAB-33473	ArrayExpress	Science for Life Laboratory, Stockholm	7_120626_AD14MLACXX_P189_110_index10	sequencing assay	group 15	ERX288643	7_120626_AD14MLACXX_P189_110_index10_1.fastq.gz	7_120626_AD14MLACXX_P189_110_index10_1.fastq.gz	ERR315357	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315357/ERR315357_1.fastq.gz	d66f0a7ac94fdf1dca979dd3ea2e29dc	102	209	colon
colon_b	ERS326990	organism part	colon	Homo sapiens	  	adult	P-MTAB-33470	ArrayExpress	P-MTAB-33471	ArrayExpress	P-MTAB-33472	ArrayExpress	V11	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	403	P-MTAB-33473	ArrayExpress	Science for Life Laboratory, Stockholm	7_120626_AD14MLACXX_P189_110_index10	sequencing assay	group 15	ERX288643	7_120626_AD14MLACXX_P189_110_index10_2.fastq.gz	7_120626_AD14MLACXX_P189_110_index10_2.fastq.gz	ERR315357	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315357/ERR315357_2.fastq.gz	59b90af880f8c21ef9f339d01c7b3f93	102	209	colon
colon_c	ERS327001	organism part	colon	Homo sapiens	  	adult	P-MTAB-33470	ArrayExpress	P-MTAB-33471	ArrayExpress	P-MTAB-33472	ArrayExpress	V14	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	343	P-MTAB-33473	ArrayExpress	Science for Life Laboratory, Stockholm	3_120522_AC0R42ACXX_P189_112_index12	sequencing assay	group 16	ERX288575	3_120522_AC0R42ACXX_P189_112_index12_1.fastq.gz	3_120522_AC0R42ACXX_P189_112_index12_1.fastq.gz	ERR315484	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315484/ERR315484_1.fastq.gz	5cf1497333d8a76896b1cf93560d8dd6	102	209	colon
colon_c	ERS327001	organism part	colon	Homo sapiens	  	adult	P-MTAB-33470	ArrayExpress	P-MTAB-33471	ArrayExpress	P-MTAB-33472	ArrayExpress	V14	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	343	P-MTAB-33473	ArrayExpress	Science for Life Laboratory, Stockholm	3_120522_AC0R42ACXX_P189_112_index12	sequencing assay	group 16	ERX288575	3_120522_AC0R42ACXX_P189_112_index12_2.fastq.gz	3_120522_AC0R42ACXX_P189_112_index12_2.fastq.gz	ERR315484	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315484/ERR315484_2.fastq.gz	1ad45141c13d68548512e6b6261e3853	102	209	colon
colon_d	ERS326994	organism part	colon	Homo sapiens	  	adult	P-MTAB-33470	ArrayExpress	P-MTAB-33471	ArrayExpress	P-MTAB-33472	ArrayExpress	V15	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	620	P-MTAB-33473	ArrayExpress	Science for Life Laboratory, Stockholm	2_120522_AC0R42ACXX_P189_113_index4	sequencing assay	group 17	ERX288558	2_120522_AC0R42ACXX_P189_113_index4_1.fastq.gz	2_120522_AC0R42ACXX_P189_113_index4_1.fastq.gz	ERR315400	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315400/ERR315400_1.fastq.gz	f6473b536a2e5eda98bc8e16de682821	102	209	colon
colon_d	ERS326994	organism part	colon	Homo sapiens	  	adult	P-MTAB-33470	ArrayExpress	P-MTAB-33471	ArrayExpress	P-MTAB-33472	ArrayExpress	V15	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	620	P-MTAB-33473	ArrayExpress	Science for Life Laboratory, Stockholm	2_120522_AC0R42ACXX_P189_113_index4	sequencing assay	group 17	ERX288558	2_120522_AC0R42ACXX_P189_113_index4_2.fastq.gz	2_120522_AC0R42ACXX_P189_113_index4_2.fastq.gz	ERR315400	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315400/ERR315400_2.fastq.gz	b479e6f07658b05cf0aa307cedbb906f	102	209	colon
colon_f	ERS326978	organism part	colon	Homo sapiens	  	adult	P-MTAB-33470	ArrayExpress	P-MTAB-33471	ArrayExpress	P-MTAB-33472	ArrayExpress	V22	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	625	P-MTAB-33473	ArrayExpress	Science for Life Laboratory, Stockholm	3_120522_AC0R42ACXX_P189_119_index5	sequencing assay	group 18	ERX288535	3_120522_AC0R42ACXX_P189_119_index5_1.fastq.gz	3_120522_AC0R42ACXX_P189_119_index5_1.fastq.gz	ERR315462	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315462/ERR315462_1.fastq.gz	32fd744429b165e7a4af2d48123c0789	102	209	colon
colon_f	ERS326978	organism part	colon	Homo sapiens	  	adult	P-MTAB-33470	ArrayExpress	P-MTAB-33471	ArrayExpress	P-MTAB-33472	ArrayExpress	V22	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	625	P-MTAB-33473	ArrayExpress	Science for Life Laboratory, Stockholm	3_120522_AC0R42ACXX_P189_119_index5	sequencing assay	group 18	ERX288535	3_120522_AC0R42ACXX_P189_119_index5_2.fastq.gz	3_120522_AC0R42ACXX_P189_119_index5_2.fastq.gz	ERR315462	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315462/ERR315462_2.fastq.gz	45b9800decf0581c8f37b46d64436387	102	209	colon
duodenum_4b	ERS326992	organism part	duodenum	Homo sapiens	  	adult	P-MTAB-33470	ArrayExpress	P-MTAB-33471	ArrayExpress	P-MTAB-33472	ArrayExpress	V145	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	430	P-MTAB-33473	ArrayExpress	Science for Life Laboratory, Stockholm	1_130213_BH07P4ADXX_P282_126B_index21	sequencing assay	group 19	ERX288636	1_130213_BH07P4ADXX_P282_126B_index21_1.fastq.gz	1_130213_BH07P4ADXX_P282_126B_index21_1.fastq.gz	ERR315461	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315461/ERR315461_1.fastq.gz	9a222d8eb546d2c5a33e637cac66fc2c	102	209	duodenum
duodenum_4b	ERS326992	organism part	duodenum	Homo sapiens	  	adult	P-MTAB-33470	ArrayExpress	P-MTAB-33471	ArrayExpress	P-MTAB-33472	ArrayExpress	V145	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	430	P-MTAB-33473	ArrayExpress	Science for Life Laboratory, Stockholm	1_130213_BH07P4ADXX_P282_126B_index21	sequencing assay	group 19	ERX288636	1_130213_BH07P4ADXX_P282_126B_index21_2.fastq.gz	1_130213_BH07P4ADXX_P282_126B_index21_2.fastq.gz	ERR315461	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315461/ERR315461_2.fastq.gz	a942a6dd134392356d0821340d05ff5a	102	209	duodenum
duodenum_4b	ERS326992	organism part	duodenum	Homo sapiens	  	adult	P-MTAB-33470	ArrayExpress	P-MTAB-33471	ArrayExpress	P-MTAB-33472	ArrayExpress	V145	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	430	P-MTAB-33473	ArrayExpress	Science for Life Laboratory, Stockholm	2_130213_BH07P4ADXX_P282_126B_index21	sequencing assay	group 19	ERX288555	2_130213_BH07P4ADXX_P282_126B_index21_1.fastq.gz	2_130213_BH07P4ADXX_P282_126B_index21_1.fastq.gz	ERR315445	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315445/ERR315445_1.fastq.gz	4f1e58172e6ac09ec7de30ea871e6f48	102	209	duodenum
duodenum_4b	ERS326992	organism part	duodenum	Homo sapiens	  	adult	P-MTAB-33470	ArrayExpress	P-MTAB-33471	ArrayExpress	P-MTAB-33472	ArrayExpress	V145	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	430	P-MTAB-33473	ArrayExpress	Science for Life Laboratory, Stockholm	2_130213_BH07P4ADXX_P282_126B_index21	sequencing assay	group 19	ERX288555	2_130213_BH07P4ADXX_P282_126B_index21_2.fastq.gz	2_130213_BH07P4ADXX_P282_126B_index21_2.fastq.gz	ERR315445	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315445/ERR315445_2.fastq.gz	9a30f658d10f5e0da06743a49c7c5e40	102	209	duodenum
duodenum_4c	ERS326976	organism part	duodenum	Homo sapiens	  	adult	P-MTAB-33470	ArrayExpress	P-MTAB-33471	ArrayExpress	P-MTAB-33472	ArrayExpress	V150	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	394	P-MTAB-33473	ArrayExpress	Science for Life Laboratory, Stockholm	1_130213_BH07P4ADXX_P282_127B_index22	sequencing assay	group 20	ERX288532	1_130213_BH07P4ADXX_P282_127B_index22_1.fastq.gz	1_130213_BH07P4ADXX_P282_127B_index22_1.fastq.gz	ERR315442	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315442/ERR315442_1.fastq.gz	1a838dc556ac8f3e7f5e79a72d103952	102	209	duodenum
duodenum_4c	ERS326976	organism part	duodenum	Homo sapiens	  	adult	P-MTAB-33470	ArrayExpress	P-MTAB-33471	ArrayExpress	P-MTAB-33472	ArrayExpress	V150	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	394	P-MTAB-33473	ArrayExpress	Science for Life Laboratory, Stockholm	1_130213_BH07P4ADXX_P282_127B_index22	sequencing assay	group 20	ERX288532	1_130213_BH07P4ADXX_P282_127B_index22_2.fastq.gz	1_130213_BH07P4ADXX_P282_127B_index22_2.fastq.gz	ERR315442	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315442/ERR315442_2.fastq.gz	360b045bc44b037c5cb1949f437df821	102	209	duodenum
duodenum_4c	ERS326976	organism part	duodenum	Homo sapiens	  	adult	P-MTAB-33470	ArrayExpress	P-MTAB-33471	ArrayExpress	P-MTAB-33472	ArrayExpress	V150	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	394	P-MTAB-33473	ArrayExpress	Science for Life Laboratory, Stockholm	2_130213_BH07P4ADXX_P282_127B_index22	sequencing assay	group 20	ERX288590	2_130213_BH07P4ADXX_P282_127B_index22_1.fastq.gz	2_130213_BH07P4ADXX_P282_127B_index22_1.fastq.gz	ERR315457	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315457/ERR315457_1.fastq.gz	8323300794d7f66bbb071cb864a1a1d0	102	209	duodenum
duodenum_4c	ERS326976	organism part	duodenum	Homo sapiens	  	adult	P-MTAB-33470	ArrayExpress	P-MTAB-33471	ArrayExpress	P-MTAB-33472	ArrayExpress	V150	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	394	P-MTAB-33473	ArrayExpress	Science for Life Laboratory, Stockholm	2_130213_BH07P4ADXX_P282_127B_index22	sequencing assay	group 20	ERX288590	2_130213_BH07P4ADXX_P282_127B_index22_2.fastq.gz	2_130213_BH07P4ADXX_P282_127B_index22_2.fastq.gz	ERR315457	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315457/ERR315457_2.fastq.gz	dd726f6d6e2124ccf5c4e9e842aa05f3	102	209	duodenum
endometrium_4a	ERS326986	organism part	endometrium	Homo sapiens	  	adult	P-MTAB-33470	ArrayExpress	P-MTAB-33471	ArrayExpress	P-MTAB-33472	ArrayExpress	V143	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	361	P-MTAB-33473	ArrayExpress	Science for Life Laboratory, Stockholm	1_130213_BH07P4ADXX_P282_123C_index19	sequencing assay	group 21	ERX288619	1_130213_BH07P4ADXX_P282_123C_index19_1.fastq.gz	1_130213_BH07P4ADXX_P282_123C_index19_1.fastq.gz	ERR315438	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315438/ERR315438_1.fastq.gz	9b7278d663927e577b7b801aa20f2d50	102	209	endometrium
