GO Phrase	GO	NA
positive regulation of macrophage derived foam cell differentiation	GO:0072661	na
negative regulation of cell cycle	GO:0072661	na
response to radiation	GO:0072661	na
DNA synthesis involved in DNA repair	GO:0072661	na
strand displacement	GO:0072661	na
DNA recombination	GO:0072661	na
response to ionizing radiation	GO:0072661	na
cell growth	GO:0072661	na
regulation of macroautophagy	GO:0072661	na
transferrin transport	GO:0072661	na
DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator	GO:0072661	na
intrinsic apoptotic signaling pathway in response to DNA damage	GO:0072661	na
cellular response to UV	GO:0072661	na
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	GO:0072661	na
positive regulation of cell cycle arrest	GO:0072661	na
positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	GO:0072661	na
positive regulation of MAPK cascade	GO:0072661	na
positive regulation of TOR signaling	GO:0072661	na
response to exogenous dsRNA	GO:0072661	na
transcription-coupled nucleotide-excision repair	GO:0072661	na
fibroblast growth factor receptor signaling pathway	GO:0072661	na
RNA metabolic process	GO:0072661	na
somatic stem cell population maintenance	GO:0072661	na
cellular response to ionizing radiation	GO:0072661	na
skeletal muscle tissue development	GO:0072661	na
regulation of necroptotic process	GO:0072661	na
negative regulation of extrinsic apoptotic signaling pathway	GO:0072661	na
metanephros development	GO:0072661	na
mesonephros development	GO:0072661	na
positive regulation of epithelial cell migration	GO:0072661	na
actin cytoskeleton reorganization	GO:0072661	na
positive regulation of epithelial cell proliferation	GO:0072661	na
liver development	GO:0072661	na
base-excision repair	GO:0072661	na
nucleotide-excision repair, DNA incision	GO:0072661	na
calcium-mediated signaling	GO:0072661	na
regulation of I-kappaB kinase/NF-kappaB signaling	GO:0072661	na
cellular response to epidermal growth factor stimulus	GO:0072661	na
positive regulation of establishment of protein localization to plasma membrane	GO:0072661	na
histone H3 acetylation	GO:0072661	na
bicellular tight junction assembly	GO:0072661	na
glucose homeostasis	GO:0072661	na
cellular response to glucose starvation	GO:0072661	na
intrinsic apoptotic signaling pathway by p53 class mediator	GO:0072661	na
reactive oxygen species metabolic process	GO:0072661	na
mitotic metaphase plate congression	GO:0072661	na
positive regulation of cell death	GO:0072661	na
activation of MAPKK activity	GO:0072661	na
regulation of focal adhesion assembly	GO:0072661	na
renal water homeostasis	GO:0072661	na
cAMP biosynthetic process	GO:0072661	na
cGMP biosynthetic process	GO:0072661	na
adenylate cyclase-activating G-protein coupled receptor signaling pathway	GO:0072661	na
activation of adenylate cyclase activity	GO:0072661	na
cellular response to glucagon stimulus	GO:0072661	na
cellular response to cAMP	GO:0072661	na
endocrine pancreas development	GO:0072661	na
Wnt signaling pathway, calcium modulating pathway	GO:0072661	na
positive regulation of interleukin-2 production	GO:0072661	na
cellular response to calcium ion	GO:0072661	na
neurogenesis	GO:0072661	na
cellular protein localization	GO:0072661	na
blood vessel development	GO:0072661	na
outflow tract septum morphogenesis	GO:0072661	na
social behavior	GO:0072661	na
inner ear morphogenesis	GO:0072661	na
endoplasmic reticulum unfolded protein response	GO:0072661	na
membrane protein intracellular domain proteolysis	GO:0072661	na
cellular response to heat	GO:0072661	na
cellular response to growth factor stimulus	GO:0072661	na
negative regulation of neuron death	GO:0072661	na
negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway	GO:0072661	na
stem cell population maintenance	GO:0072661	na
positive regulation of nitric oxide biosynthetic process	GO:0072661	na
cardiac muscle cell action potential involved in contraction	GO:0072661	na
regulation of heart rate by cardiac conduction	GO:0072661	na
positive regulation of extrinsic apoptotic signaling pathway	GO:0072661	na
regulation of protein localization	GO:0072661	na
positive regulation of neuron apoptotic process	GO:0072661	na
positive regulation of erythrocyte differentiation	GO:0072661	na
pulmonary valve morphogenesis	GO:0072661	na
telomere maintenance via recombination	GO:0072661	na
regulation of centrosome duplication	GO:0072661	na
negative regulation of MAP kinase activity	GO:0072661	na
protein localization	GO:0072661	na
phospholipase C-activating G-protein coupled receptor signaling pathway	GO:0072661	na
learning or memory	GO:0072661	na
osteoblast differentiation	GO:0072661	na
epithelial to mesenchymal transition	GO:0072661	na
negative regulation of DNA damage response, signal transduction by p53 class mediator	GO:0072661	na
negative regulation of anoikis	GO:0072661	na
cell separation after cytokinesis	GO:0072661	na
establishment of protein localization	GO:0072661	na
negative regulation of cell death	GO:0072661	na
regulation of mitotic spindle assembly	GO:0072661	na
ureteric bud development	GO:0072661	na
branching involved in ureteric bud morphogenesis	GO:0072661	na
kidney development	GO:0072661	na
negative regulation of androgen receptor signaling pathway	GO:0072661	na
positive regulation of NIK/NF-kappaB signaling	GO:0072661	na
negative regulation of release of cytochrome c from mitochondria	GO:0072661	na
negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	GO:0072661	na
regulation of defense response to virus by virus	GO:0072661	na
erythrocyte differentiation	GO:0072661	na
cartilage development	GO:0072661	na
positive regulation of membrane protein ectodomain proteolysis	GO:0072661	na
response to calcium ion	GO:0072661	na
cellular defense response	GO:0072661	na
positive regulation of monocyte chemotaxis	GO:0072661	na
regulation of angiogenesis	GO:0072661	na
neuron development	GO:0072661	na
mitophagy	GO:0072661	na
regulation of dopamine secretion	GO:0072661	na
positive regulation of protein binding	GO:0072661	na
positive regulation of DNA binding	GO:0072661	na
positive regulation of muscle cell differentiation	GO:0072661	na
negative regulation of DNA binding	GO:0072661	na
cellular response to gamma radiation	GO:0072661	na
positive regulation of neuron differentiation	GO:0072661	na
lung development	GO:0072661	na
adenylate cyclase-activating adrenergic receptor signaling pathway	GO:0072661	na
positive regulation of fat cell differentiation	GO:0072661	na
positive regulation of glucose import	GO:0072661	na
regulation of cyclin-dependent protein serine/threonine kinase activity	GO:0072661	na
cell morphogenesis	GO:0072661	na
positive regulation of receptor internalization	GO:0072661	na
error-prone translesion synthesis	GO:0072661	na
peptidyl-tyrosine phosphorylation	GO:0072661	na
peptidyl-tyrosine autophosphorylation	GO:0072661	na
positive regulation of tyrosine phosphorylation of STAT protein	GO:0072661	na
regulation of inflammatory response	GO:0072661	na
JAK-STAT cascade involved in growth hormone signaling pathway	GO:0072661	na
response to drug	GO:0072661	na
cellular calcium ion homeostasis	GO:0072661	na
antibacterial humoral response	GO:0072661	na
telomere maintenance via telomerase	GO:0072661	na
positive regulation of cAMP biosynthetic process	GO:0072661	na
receptor internalization	GO:0072661	na
protein localization to plasma membrane	GO:0072661	na
vasculogenesis	GO:0072661	na
cellular response to estradiol stimulus	GO:0072661	na
histone deacetylation	GO:0072661	na
nucleotide-excision repair	GO:0072661	na
telomere maintenance	GO:0072661	na
DNA double-strand break processing	GO:0072661	na
positive regulation of protein autophosphorylation	GO:0072661	na
membrane depolarization during cardiac muscle cell action potential	GO:0072661	na
cellular iron ion homeostasis	GO:0072661	na
positive regulation of nitric-oxide synthase activity	GO:0072661	na
regulation of ventricular cardiac muscle cell membrane repolarization	GO:0072661	na
positive regulation of activated T cell proliferation	GO:0072661	na
negative regulation of osteoblast differentiation	GO:0072661	na
positive regulation of p38MAPK cascade	GO:0072661	na
positive regulation of histone acetylation	GO:0072661	na
humoral immune response	GO:0072661	na
positive regulation of mitotic cell cycle	GO:0072661	na
sensory perception of pain	GO:0072661	na
negative regulation of adenylate cyclase activity	GO:0072661	na
triglyceride metabolic process	GO:0072661	na
cholesterol metabolic process	GO:0072661	na
positive regulation of heterotypic cell-cell adhesion	GO:0072661	na
negative regulation of G1/S transition of mitotic cell cycle	GO:0072661	na
positive regulation of cardiac muscle hypertrophy	GO:0072661	na
positive regulation of MAP kinase activity	GO:0072661	na
SRP-dependent cotranslational protein targeting to membrane	GO:0072661	na
calcium-mediated signaling using intracellular calcium source	GO:0072661	na
cellular response to hydrogen peroxide	GO:0072661	na
nitric oxide mediated signal transduction	GO:0072661	na
positive regulation of catalytic activity	GO:0072661	na
DNA damage response, detection of DNA damage	GO:0072661	na
response to cytokine	GO:0072661	na
positive regulation of neuron death	GO:0072661	na
negative regulation of smooth muscle cell proliferation	GO:0072661	na
autophagosome maturation	GO:0072661	na
positive regulation of protein localization to nucleus	GO:0072661	na
activin receptor signaling pathway	GO:0072661	na
positive regulation of cardiac muscle cell proliferation	GO:0072661	na
high-density lipoprotein particle remodeling	GO:0072661	na
reverse cholesterol transport	GO:0072661	na
negative regulation of macrophage derived foam cell differentiation	GO:0072661	na
positive regulation of cholesterol efflux	GO:0072661	na
phospholipid efflux	GO:0072661	na
inner ear development	GO:0072661	na
positive regulation of cytokine secretion	GO:0072661	na
blood circulation	GO:0072661	na
regulation of mitochondrial membrane potential	GO:0072661	na
activation of phospholipase C activity	GO:0072661	na
ovarian follicle development	GO:0072661	na
positive regulation of collagen biosynthetic process	GO:0072661	na
fibrinolysis	GO:0072661	na
blood vessel remodeling	GO:0072661	na
positive regulation of branching involved in ureteric bud morphogenesis	GO:0072661	na
positive regulation of vascular endothelial growth factor production	GO:0072661	na
response to hormone	GO:0072661	na
positive regulation of pri-miRNA transcription from RNA polymerase II promoter	GO:0072661	na
negative regulation of fibroblast proliferation	GO:0072661	na
positive regulation of blood vessel endothelial cell migration	GO:0072661	na
positive regulation of interleukin-17 production	GO:0072661	na
protein kinase B signaling	GO:0072661	na
positive regulation of SMAD protein import into nucleus	GO:0072661	na
cellular response to organic cyclic compound	GO:0072661	na
positive regulation of transcription regulatory region DNA binding	GO:0072661	na
positive regulation of heart rate	GO:0072661	na
positive regulation of JAK-STAT cascade	GO:0072661	na
positive regulation of glycogen biosynthetic process	GO:0072661	na
G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	GO:0072661	na
positive regulation of osteoclast differentiation	GO:0072661	na
T cell activation involved in immune response	GO:0072661	na
natural killer cell activation involved in immune response	GO:0072661	na
B cell differentiation	GO:0072661	na
positive regulation of peptidyl-serine phosphorylation of STAT protein	GO:0072661	na
B cell proliferation	GO:0072661	na
regulation of type I interferon-mediated signaling pathway	GO:0072661	na
positive regulation of vascular endothelial growth factor receptor signaling pathway	GO:0072661	na
skin development	GO:0072661	na
triglyceride homeostasis	GO:0072661	na
positive regulation of substrate adhesion-dependent cell spreading	GO:0072661	na
response to glucose	GO:0072661	na
endodermal cell differentiation	GO:0072661	na
positive regulation of B cell proliferation	GO:0072661	na
cell adhesion mediated by integrin	GO:0072661	na
positive regulation of focal adhesion assembly	GO:0072661	na
sympathetic nervous system development	GO:0072661	na
drug metabolic process	GO:0072661	na
epoxygenase P450 pathway	GO:0072661	na
cell communication by electrical coupling involved in cardiac conduction	GO:0072661	na
regulation of NMDA receptor activity	GO:0072661	na
leukocyte cell-cell adhesion	GO:0072661	na
negative regulation of phosphorylation	GO:0072661	na
lipid homeostasis	GO:0072661	na
nucleotide-excision repair, DNA gap filling	GO:0072661	na
macrophage differentiation	GO:0072661	na
odontogenesis	GO:0072661	na
nucleotide-excision repair, preincision complex stabilization	GO:0072661	na
nucleotide-excision repair, DNA incision, 3'-to lesion	GO:0072661	na
nucleotide-excision repair, DNA incision, 5'-to lesion	GO:0072661	na
global genome nucleotide-excision repair	GO:0072661	na
positive regulation of endothelial cell apoptotic process	GO:0072661	na
nucleotide-excision repair, DNA damage recognition	GO:0072661	na
nucleotide-excision repair, DNA duplex unwinding	GO:0072661	na
nucleotide-excision repair, preincision complex assembly	GO:0072661	na
regulation of type I interferon production	GO:0072661	na
error-free translesion synthesis	GO:0072661	na
mRNA transcription from RNA polymerase II promoter	GO:0072661	na
endocardial cushion morphogenesis	GO:0072661	na
cardiac right ventricle morphogenesis	GO:0072661	na
ventricular cardiac muscle cell action potential	GO:0072661	na
protein targeting to plasma membrane	GO:0072661	na
